,portfolio,benchmark
2024-11-27,1.0031458702361047,1.027365893977738
2024-11-28,1.0142737984551167,1.0341195365095315
2024-11-29,1.0303432868840152,1.057638399338222
2024-12-02,1.035156582315451,1.062285585706804
2024-12-03,1.0296458641812631,1.0458560625865216
2024-12-04,1.0421033309403145,1.054768822242639
2024-12-05,1.0528767475206997,1.0696436435627976
2024-12-06,1.0397316154258804,1.05165238580998
2024-12-09,1.0369952175408812,1.0534350131297987
2024-12-10,1.0472386938998242,1.0707471445541066
2024-12-11,1.053612913967232,1.0850431534901548
2024-12-12,1.0395619559937255,1.0596001081307436
2024-12-13,1.0347666612881308,1.0538124303413832
2024-12-16,1.0059944207490485,1.0173542099440185
2024-12-17,1.0058916178207564,1.0239955110504873
2024-12-18,0.9953291713484512,1.0293249359440502
2024-12-19,0.9901590214627097,1.0290798398346352
2024-12-20,0.9744482785584834,0.9909193549406805
2024-12-23,0.9906605566685681,0.9962755381776673
2024-12-24,0.9820963724654787,0.9734413202922874
2024-12-25,0.9788331250780681,0.9781008082141911
2024-12-26,0.986673288317141,0.990439956216084
2024-12-27,0.9806276681663034,0.983147380582213
2024-12-30,0.9508123761490019,0.9606985818118661
2024-12-31,0.9248822111221972,0.944646129136925
2025-01-02,0.9001688771368848,0.9099482567926366
2025-01-03,0.8987706336914134,0.9068324744135312
2025-01-06,0.9019199506385661,0.923874753461716
2025-01-07,0.8943041356156565,0.9181150727727819
2025-01-08,0.8910275236132441,0.9158124941085873
2025-01-09,0.8722256246606018,0.8914250859704844
2025-01-10,0.8748286381247057,0.8923061354134102
2025-01-13,0.904179031800821,0.9241444775850384
2025-01-14,0.8988505828131252,0.9203868290980615
2025-01-15,0.9031303512178008,0.9285129377534932
2025-01-16,0.8989279783084612,0.9237837920466362
2025-01-17,0.9078955824281549,0.9318714631766648
2025-01-20,0.9025508612864016,0.9255401227267365
2025-01-21,0.8823867239423888,0.9057943116660195
2025-01-22,0.8846840911698294,0.9041714285113943
2025-01-23,0.8905142370858943,0.9083379819698846
2025-01-24,0.8847224656952294,0.9063925879003444
2025-01-27,0.8807456521473513,0.9163623217459353
2025-02-05,0.8950830679546837,0.929360852598314
2025-02-06,0.9170968733615492,0.947804577501963
2025-02-07,0.9283601264695757,0.9711191194172845
2025-02-10,0.9253506949820064,0.9644361475395078
2025-02-11,0.9512657114087691,0.9792740934918671
2025-02-12,0.9553891872761237,0.9783378276627753
2025-02-13,0.9831866207937254,0.98342297919022
2025-02-14,1.0002736275623023,0.9967371930670422
2025-02-17,0.9984277069863849,0.9774686006777794
2025-02-18,1.017271205902692,0.9907469961141065
2025-02-19,1.0042402028289856,0.9867107648041645
2025-02-20,1.0294173785566336,0.9957517543475596
2025-02-21,1.044038722539442,1.0010998309540977
2025-02-24,1.0272514115242113,0.9893019073974884
2025-02-25,1.048527148794732,1.0059620452909697
2025-02-26,1.0266151084792354,1.0030325722322095
2025-02-27,0.9948609545027987,0.9777489101466135
2025-02-28,0.9974784059219153,0.9853431734439486
2025-03-03,0.9862603616961225,0.9869410374131574
2025-03-04,0.9759095630535712,0.9765040654441476
2025-03-05,0.9951149102132704,0.9898710631907788
2025-03-06,0.9800684250852357,0.9747754035980681
2025-03-07,0.971231320926405,0.9732930542420616
2025-03-10,0.9766829412601188,0.9862670942976726
2025-03-11,0.9891773968886708,0.9926318263254842
2025-03-12,0.9769018225681599,0.9843880253256911
2025-03-13,0.9946782828878813,0.9989773660617196
2025-03-14,0.9977164561638191,1.0043642157481918
2025-03-17,0.99598972852722,1.0038164328512766
2025-03-18,0.9965343170717045,1.001544537528604
2025-03-19,0.9997869732923493,1.0009112918972065
2025-03-20,0.99194995099368,0.9895617939021039
2025-03-21,0.9827071951221057,0.9721309775763309
2025-03-24,0.981590236897116,0.9723294868595823
2025-03-25,0.9796505731574714,0.9787230606747135
2025-03-26,0.9704902971363313,0.9792678106983963
2025-03-27,0.9599983207116207,0.9686863740196932
2025-03-28,0.9514726403744735,0.9547134736044902
2025-03-31,0.959279715337553,0.96218954107211
2025-04-01,0.9551856872442259,0.9604945249708503
2025-04-02,0.9519229795289297,0.965166787980419
2025-04-03,0.8655148318780349,0.8777925683803677
2025-04-07,0.8586225550835411,0.8620922923443345
2025-04-08,0.8725044303131814,0.8828490193061926
2025-04-09,0.8927762896444393,0.9102961199172622
2025-04-10,0.8917833450326642,0.9139067696289979
2025-04-11,0.9041420817748977,0.9323889737805101
2025-04-14,0.8943503007800365,0.9352174823188394
2025-04-15,0.8980614845120632,0.9259960099687169
2025-04-16,0.9054719473966617,0.9354648503103298
2025-04-17,0.9138524440975739,0.94090943995922
2025-04-18,0.9094205863466636,0.9480283401189525
2025-04-21,0.9089961327154995,0.9513405922270743
2025-04-22,0.8999776880454248,0.9454329464497302
2025-04-23,0.8962825195357399,0.937644440704416
2025-04-24,0.8973287267044677,0.9486971091997588
2025-04-25,0.8848243636297083,0.9335518812957341
2025-04-28,0.883436825000239,0.9329019370000019
2025-04-29,0.8836748657226363,0.9451967054604856
2025-04-30,0.9003488147274975,0.9606057690526413
2025-05-06,0.8991143201106568,0.9648025234814007
2025-05-07,0.9048480675751526,0.9697207337200766
2025-05-08,0.9024320896217188,0.9675532911950734
2025-05-09,0.9141612033520625,0.976695412165189
2025-05-12,0.9079051992483591,0.9750328151676686
2025-05-13,0.9127249993099857,0.9772446414396818
2025-05-14,0.9037128127604004,0.9686823783372117
2025-05-15,0.9089597121394388,0.9689071691441072
2025-05-16,0.921682124880385,0.9865326248935715
2025-05-19,0.9283625598092597,0.9921532236500302
2025-05-20,0.9343125073227747,0.9940789614022114
2025-05-21,0.9329140287520926,0.9878368824803467
2025-05-22,0.9219650866372993,0.971004622956317
2025-05-23,0.9262121067896512,0.979508805677282
2025-05-26,0.931828681640317,0.9874824177092739
2025-05-27,0.9379004331698011,0.9863685057189086
2025-05-28,0.947219188666671,1.0007584209308626
2025-05-29,0.9484638985159561,0.9954768537882687
