因子,Mean_IC,Std_IC,IR,IC正比例,多空年化收益,多头年化,空头年化,Sharpe,FM_tstat
accruals_z,0,0,0,0,0.0,0.0,0.0,0.0,0.0
amihud_illiq_z,0,0,0,0,0.0,0.0,0.0,0.0,-0.9092
dollar_volume_z,0,0,0,0,0.0,0.0,0.0,0.0,-0.2199
ivol_capm_z,0,0,0,0,0.0,0.0,0.0,0.0,-0.555
size_z,0,0,0,0,0.0,0.0,0.0,0.0,0.1791
asset_growth_z,0,0,0,0,0.0,0.0,0.0,0.0,0.0
sales_growth_z,0,0,0,0,0.0,0.0,0.0,0.0,0.0
z_score_z,0,0,0,0,0.0,0.0,0.0,0.0,0.0
